ProjectID,RequirementText,IsFunctional,IsQuality,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),Other (OT),CleanedRequirementText,IsOutlierRule,OutlierProbability,IsOutlierModel,IsOutlierFinal
2,'The search results shall be returned no later 30 seconds after the user has entered the search criteria',1,1,0,0,0,0,0,0,1,0,0,0,0,0,search result shall returned later NUM second user entered search criterion,0,0.029183739261267643,0,0
2,'The product shall generate a CMA report in an acceptable time.',1,1,0,0,0,0,0,0,1,0,0,0,0,0,product shall generate cma report acceptable time,0,0.020884357968137365,0,0
2,'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',1,1,0,0,0,0,0,0,1,0,0,0,0,0,cma report shall returned later NUM second user entered cma report criterion,0,0.140108360575848,0,0
2,'The product shall synchronize contacts and appointments in an acceptable time.',1,1,0,0,0,0,0,0,1,0,0,0,0,0,product shall synchronize contact appointment acceptable time,0,0.0029384901504665895,0,0
2,'The product shall synchronize with the office system every hour.',1,1,0,0,0,0,0,0,1,0,0,0,0,0,product shall synchronize office system every hour,0,5.6253222832428865e-05,0,0
2,'The product shall be available for use 24 hours per day 365 days per year',0,1,1,0,0,0,0,0,0,0,0,0,0,0,product shall available use NUM hour per day NUM day per year,0,0.0023833837471906876,0,0
2,'Out of 1000 accesses to the system the system is available 999 times.',0,1,1,0,0,0,0,0,0,0,0,0,0,0,NUM access system system available NUM time,0,0.06289759919944148,0,0
2,'The product shall operate in offline mode whenever internet connection is unavailable.',0,1,0,1,0,0,0,0,0,0,0,0,0,0,product shall operate offline mode whenever internet connection unavailable,0,0.03430930958105378,0,0
2,'The product shall allow the user to view previously downloaded search results CMA reports and appointments.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,product shall allow user view previously downloaded search result cma report appointment,0,0.0008120347235925008,0,0
2,'The product shall retain user preferences in the event of a failure.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,product shall retain user preference event failure,0,0.0014002619180923275,0,0
2,'100% of saved user preferences shall be restored when system comes back online.',1,1,0,1,0,0,0,0,0,0,0,0,0,0,NUM saved user preference shall restored system come back online,0,0.0035802293529418284,0,0
2,'The product shall be able to support multiple remote users',1,0,0,0,0,0,0,0,0,0,0,0,0,0,product shall able support multiple remote user,0,0.000958164681933476,0,0
2,'The product shall be able support 1000 simultaneous users.',0,1,0,0,0,0,0,0,0,0,1,0,0,0,product shall able support NUM simultaneous user,0,0.00015175630499686488,0,0
2,'The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.',0,1,0,0,0,0,0,0,1,0,1,0,0,0,product shall capable handling existing NUM user number expected grow NUM time within next year,0,0.01639661094456918,0,0
2,'The product shall be installed by an untrained realtor without recourse to separately-printed instructions.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,product shall installed untrained realtor without recourse separatelyprinted instruction,0,0.014855290471461073,0,0
2,'90% of untrained realtors shall be able to install the product on their device without printed instructions',0,1,0,0,0,0,0,0,0,0,0,0,1,0,NUM untrained realtor shall able install product device without printed instruction,0,0.012018027916013432,0,0
2,'Only registered realtors shall be able to access the system.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,registered realtor shall able access system,0,0.0003833466977960588,0,0
2,'Every user of the system shall be authenticated and authorized.',1,1,0,0,0,0,0,0,0,0,0,1,0,0,every user system shall authenticated authorized,0,0.0002255716928021189,0,0
2,'The product shall prevent its data from incorrect data being introduced.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,product shall prevent data incorrect data introduced,0,0.003907193957073771,0,0
2,'The system shall allow a real estate agent to query MLS information',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall allow real estate agent query ml information,0,0.010711109760573975,0,0
2,'The user shall be able to get driving directions to a selected property',1,0,0,0,0,0,0,0,0,0,0,0,0,0,user shall able get driving direction selected property,0,0.013962950490357087,0,0
2,'The user shall be able to download appointments and contact information for clients',1,0,0,0,0,0,0,0,0,0,0,0,0,0,user shall able download appointment contact information client,0,0.006295159686899563,0,0
2,'The system shall display clear property images in the search results',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display clear property image search result,0,0.008799512959482596,0,0
2,'The system shall update or create new property listings in the MLS',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall update create new property listing ml,0,0.014923379793456967,0,0
2,'Realtor shall be able to generate a CMA report based on property criteria',1,0,0,0,0,0,0,0,0,0,0,0,0,0,realtor shall able generate cma report based property criterion,0,0.07206001193135328,0,0
2,'The system shall be able to call the seller or buyer to schedule an appointment',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able call seller buyer schedule appointment,0,0.015987100530575546,0,0
2,'The realtor shall be notified of new client appointments after automatic synchronization with office system',1,0,0,0,0,0,0,0,0,0,0,0,0,0,realtor shall notified new client appointment automatic synchronization office system,0,0.05701778756226742,0,0
2,'The realtor shall be able to retrieve a map showing property locations for a specified area',1,0,0,0,0,0,0,0,0,0,0,0,0,0,realtor shall able retrieve map showing property location specified area,0,0.1310280264779977,0,0
2,'The system shall notify the realtor when a seller or buyer responds to an appointment request',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall notify realtor seller buyer responds appointment request,0,0.03680964091577873,0,0
2,'The product shall allow the user to save the property search results.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,product shall allow user save property search result,0,0.00042382193924272624,0,0
3,'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,system shall easy use program administratorsnursing staff member,0,0.0029728689582556606,0,0
3,'All of the users shall be able to use the system after one day of training.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,user shall able use system one day training,0,0.0023269374455313296,0,0
3,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,system shall help user avoid making mistake scheduling class clinicals nursing student,0,0.006828600447181679,0,0
3,'The number of mistakes noted by the students shall be decreased by 50% in the first year.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,number mistake noted student shall decreased NUM first year,0,0.1616525332762779,0,0
3,'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,system shall intuitive program administratorsnursing staff member,0,0.004539738852568763,0,0
3,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',1,1,0,0,0,0,0,0,0,0,0,0,1,0,NUM NUM program administratorsnursing staff member shall successfully able use system manage scheduling class clinicals,0,0.025071790694686784,0,0
3,'The system shall use symbols and words that are naturally understandable by the user community.',0,1,0,0,0,1,0,0,0,0,0,0,1,0,system shall use symbol word naturally understandable user community,0,0.004491264505001065,0,0
3,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',0,1,0,0,0,1,0,0,0,0,0,0,1,0,verbiage used within system shall consistent standard english terminology national nursing community,0,0.0032758557612852647,0,0
3,'Staff members shall be able to complete a set of tasks in a timely manner.',0,1,0,0,0,0,0,0,1,0,0,0,0,0,staff member shall able complete set task timely manner,0,0.058506708053322164,0,0
3,'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',0,1,0,0,0,0,0,0,1,0,0,0,0,0,response time general student management task shall take longer NUM second response time schedule generation shall take longer NUM second,0,0.07591146001943061,0,0
3,'The system shall be available for use between the hours of 8am and 6pm.',0,1,1,0,0,0,0,0,0,0,0,0,0,0,system shall available use hour NUM am NUM pm,0,5.5575391599653186e-05,0,0
3,'The system shall achieve 95% up time.',0,1,1,0,0,0,0,0,0,0,0,0,0,0,system shall achieve NUM time,0,0.0030846321931860083,0,0
3,'system shall be able to handle all of the user requests/usage during business hours.',0,1,1,0,0,0,0,0,0,0,1,0,0,0,system shall able handle user requestsusage business hour,0,0.00038467779671496087,0,0
3,'The system shall cater to 10 simultaneous users from 9am to 5pm.',0,1,1,0,0,0,0,0,0,0,1,0,0,0,system shall cater NUM simultaneous user NUM am NUM pm,0,0.00029917947008721254,0,0
3,'The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.',0,1,0,0,0,0,0,0,0,0,1,0,0,0,system shall capable processing NUM nursing student class next NUM year,0,0.005883865915755751,0,0
3,'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.',1,1,0,0,0,0,0,0,0,0,1,0,0,0,system shall expected manage nursing program curriculum classclinical scheduling minimum NUM year,0,0.016027880640890335,0,0
3,'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',0,1,0,0,0,0,0,1,0,0,0,0,0,0,system shall able operate within business office environment typical nursing department depaul university,0,0.025859363369593356,0,0
3,'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',0,1,0,0,0,0,0,1,0,0,0,0,0,0,system shall used within specification defined computer used program administratorsnursing staff member,0,0.0041525143539203665,0,0
3,'The system shall operate within the Windows XP Professional operating system.',0,1,0,0,0,0,0,1,0,0,0,0,0,0,system shall operate within window xp professional operating system,0,0.005962403216618216,0,0
3,The system shall interface with CampusConnect's central server',0,1,0,0,0,0,0,1,0,0,0,0,0,0,system shall interface campusconnects central server,0,0.0016925556785882775,0,0
3,'The system shall interface with the faculty central server.',0,1,0,0,0,0,0,1,0,0,0,0,0,0,system shall interface faculty central server,0,0.004520354362663259,0,0
3,'The system shall interface with the student master server.',0,1,0,0,0,0,0,1,0,0,0,0,0,0,system shall interface student master server,0,0.0014515107418493866,0,0
3,'We must be able to interface with any HTML browser.',0,1,0,0,0,0,0,1,0,0,0,0,0,0,must able interface html browser,0,0.0614129899579207,0,0
3,'Only authorized users shall have access to clinical site information.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,authorized user shall access clinical site information,0,0.004059705203271141,0,0
3,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,program administratorsnursing staff member people shall access clinical site detail,0,0.022286864925010114,0,0
3,Only authorized users shall have access to students' personal information.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,authorized user shall access student personal information,0,0.010439656400163115,0,0
3,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,dr susan poslusny dr julie donalek people shall access student personal information,0,0.15462978090744772,0,0
3,'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,authorized user shall access portion system interface campusconnect,0,0.0010277721597952325,0,0
3,'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,0,0.04955442003170192,0,0
3,'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',1,1,0,0,0,0,0,0,0,0,0,1,0,0,system shall basic data integrity checking reduce possibility incorrect invalid data introduced,0,0.02068653871438636,0,0
3,The system shall protect private information in accordance with the organization's information policy.',1,1,0,0,1,0,0,0,0,0,0,1,0,0,system shall protect private information accordance organization information policy,0,0.024746006473558468,0,0
3,'The system shall be built such that it is as secure as possible from malicious interference.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,system shall built secure possible malicious interference,0,0.011797466883097511,0,0
3,The system shall use the organization's standard virus protection software to help monitor threats to itself.',0,1,0,0,0,0,0,0,0,0,0,1,0,0,system shall use organization standard virus protection software help monitor threat,0,0.018695687757096943,0,0
3,'A cohort shall be associated to one Program of Study offered by the department.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,cohort shall associated one program study offered department,0,0.06425612168630164,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add listing student cohort,0,0.03262584278769861,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add single student cohort,0,0.017623771492944276,0,0
3,Students added to a cohort shall be eligible for the cohort's Program of Study.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,student added cohort shall eligible cohort program study,0,0.10673059400822206,0,0
3,'Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able specify preferred sequence class given cohort,0,0.05003338743650909,0,0
3,'For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,class within sequence cohort program administrator nursing staff member shall able specify quarter class offered,0,0.01800822612497003,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add new class sequence class,0,0.057893575456857624,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add clinical class section sequence class,0,0.020393511190676672,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add new cohort system identified start month year,0,0.029879649618502414,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add new class nursing department system,0,0.0474280416582194,0,0
3,'A class shall be either a non-clinical class or a clinical class.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,class shall either nonclinical class clinical class,0,0.09898853389508495,0,0
3,'A non-clinical class shall specify the course name lecture room requirements and instructor needs.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,nonclinical class shall specify course name lecture room requirement instructor need,0,0.07374994319899451,0,0
3,'A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need,0,0.10047864619764145,0,0
3,'Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administratorsnursing staff member shall able create new program study,0,0.07102347263003116,0,0
3,'A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,program study shall consist program name listing required class clinical nonclinical must completed,0,0.012856587585976041,0,0
3,'Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall ability specify class required program study,0,0.08512774720314467,0,0
3,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able display report needed class given quarter cohort program program administratorsnursing staff member planning purpose,0,0.008246571528613383,0,0
3,'The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,report needed class shall include limited class offered number section needed number lab needed room type needed,0,0.21583501855055393,0,0
3,'Classes for a given cohort shall not conflict with regards to the time and day that they are offered.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,class given cohort shall conflict regard time day offered,0,0.04950622434057228,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add new clinical site system,0,0.011122891354818452,0,0
3,'Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,clinical site information shall include limited name site contact person contact information,0,0.06621922769640097,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add new clinical lab section existing clinical class system,0,0.011550418972604296,0,0
3,'A clinical lab section shall include the clinical site name the class instructor day and time of the lab.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,clinical lab section shall include clinical site name class instructor day time lab,0,0.04912489872493468,0,0
3,'Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administrator nursing staff member shall able add student registered clinical class clinical lab section class,0,0.016582268758674953,0,0
3,'The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall allow program administrator nursing staff member remove student clinical lab section,0,0.002906333438083489,0,0
3,'The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall allow program administratornursing staff member move student one clinical lab section another clinical lab section corresponding clinical class,0,0.01409013321514859,0,0
3,'Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administratorsnursing staff member shall able cancel clinical lab section student registered clinical lab section,0,0.08899412692157062,0,0
3,'A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,program administratornursing staff member shall able add new nursing student system,0,0.018034326947401508,0,0
3,'A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,staff member shall ability manage progress part time student includes modifying sequence class timeline class,0,0.08483522966382104,0,0
3,'The system shall be able to display a printable summary for individual cohorts which will include the students enlisted the Program of study sequence of classes cohort progress through the program and timeline of completion.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion,0,0.03238200642944168,0,0
3,'The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able display printable summary individual clinical site include information lab held site given quarter clinical site general information lab held location date time lab held,0,0.04666010800616279,0,0
3,'The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrolled instructor day time location,0,0.024694445990607758,0,0
3,'The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able display printable summary individual nursing student include limited student name student id admission date class credit gpa cohort student enrolled,0,0.034796066694906716,0,0
3,'The system shall be able to display a printable summary of the system log.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall able display printable summary system log,0,0.005682631926770324,0,0
3,'The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall contain contact information email phone number people relevant system including limited staff member student lecture instructor clinical lab instructor clinical site administrator,0,0.009528518721204674,0,0
3,'The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system use stored email address primary mean communicating information affected party,0,0.18650487802442886,0,0
3,'The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system notify affected party routine communication purpose including limited informing student upcoming offered class timeline schedule beshall,0,0.021980961114461278,0,0
3,'The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system notify affected party change occur affecting clinicals including limited clinical section capacity change clinical section cancellation,0,0.13043563748675477,0,0
3,'The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system notify affected party change occur affecting class including limited class cancellation class section detail change change class offering given quarter,0,0.10779091540172626,0,0
3,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort's program of study and changes to a given week's schedule (lab cancelled this week due to instructor illness).',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system notify affected party change occur affecting cohort including limited change sequence cohort program study change given week schedule lab cancelled week due instructor illness,0,0.1453370912024539,0,0
3,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system notify affected party change occur affecting specific student including limited changing student status full time part time moving student different clinical section,0,0.09435732292779533,0,0
